Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
1,Standard for Flexible Metal Conduit,Ed. 11,UL,"February 16, 2005",ulstd,True,Standard,Flexible Metal Conduit,Flexible Metal Conduit,Metal Conduit,Flexible Metal,Conduit,Metal
4,Standard for Armored Cable,Ed. 15,UL,"January 15, 2004",ulstd,True,Standard,Armored Cable,Armored Cable,Cable,Armored,,
5,Standard for Surface Metal Raceways And Fittings,Ed. 15,UL,"May 24, 2016",ulstd,True,Standard,Surface Metal Raceways And Fittings,Surface Metal Raceways And Fittings,Metal Raceways And Fittings,Surface Metal Raceways,Raceways And Fittings,Metal Raceways
5A,Nonmetallic Surface Raceways And Fittings,Ed. 4,UL,"June 26, 2015",ulcsa,True,,Nonmetallic Surface Raceways And Fittings,Nonmetallic Surface Raceways And Fittings,Surface Raceways And Fittings,Nonmetallic Surface Raceways,Raceways And Fittings,Surface Raceways
5B,Standard for Strut-Type Channel Raceways And Fittings,Ed. 2,UL,"April 14, 2004",ulstd,True,Standard,Strut-Type Channel Raceways And Fittings,Strut-Type Channel Raceways And Fittings,Channel Raceways And Fittings,Strut-Type Channel Raceways,Raceways And Fittings,Channel Raceways
5C,"Standard for Surface Raceways And Fittings for Use With Data, Signal, And Control Circuits",Ed. 3,UL,"April 22, 2016",ulstd,True,Standard,"Surface Raceways And Fittings for Use With Data, Signal, And Control Circuits",Surface Raceways And Fittings,Fittings for Use With Data,Control Circuits,Raceways And Fittings,Surface Raceways
6,Electrical Rigid Metal Conduit - Steel,Ed. 15,UL,"November 28, 2022",ulcsance,True,,Electrical Rigid Metal Conduit - Steel,Electrical Rigid Metal Conduit,Rigid Metal Conduit,Electrical Rigid Metal,Metal Conduit,Rigid Metal
6A,Standard for Electrical Rigid Metal Conduit - Aluminum And Stainless Steel,Ed. 2,UL,"October 31, 2008",ulcsance,True,Standard,Electrical Rigid Metal Conduit - Aluminum And Stainless Steel,Electrical Rigid Metal Conduit,Aluminum And Stainless Steel,Rigid Metal Conduit,Electrical Rigid Metal,Metal Conduit
7,Outline of Investigation for Pump Tank Extinguishers,Ed. 3,UL,"November 17, 2006",outline,True,Outline,Investigation for Pump Tank Extinguishers,Investigation for Pump Tank Extinguishers,Pump Tank Extinguishers,Investigation for Pump Tank,Tank Extinguishers,Pump Tank
8,Water Based Agent Fire Extinguishers,Ed. 7,UL,"November 25, 2016",ululc,True,,Water Based Agent Fire Extinguishers,Water Based Agent Fire Extinguishers,Based Agent Fire Extinguishers,Water Based Agent Fire,Agent Fire Extinguishers,Based Agent Fire
9,Standard for Fire Tests of Window Assemblies,Ed. 8,UL,"July 02, 2009",ulstd,True,Standard for Fire Test,Window Assemblies,Window Assemblies,Assemblies,Window,,
10,Subject 10 - Fire Doors,Ed. 1,UL,"March 30, 2015",,True,,Subject 10 - Fire Doors,Fire Doors,Subject,Fire,Doors,
10,Guide for Evaluating Doors And Frames for Listing And Labelling,Ed. 1,ULC,"November 01, 1986",,True,Guide,Evaluating Doors And Frames for Listing And Labelling,Frames for Listing And Labelling,Doors And Frames for Listing,Evaluating Doors And Frames,Listing And Labelling,Doors And Frames
10A,Standard for Tin-Clad Fire Doors,Ed. 21,UL,"January 30, 2009",ulstd,True,Standard,Tin-Clad Fire Doors,Tin-Clad Fire Doors,Fire Doors,Tin-Clad Fire,Doors,Fire
10B,Standard for Fire Tests of Door Assemblies,Ed. 10,UL,"February 07, 2008",ulstd,True,Standard for Fire Test,Door Assemblies,Door Assemblies,Assemblies,Door,,
PROY- NMX-S-10C-UL-2021,Seguridad Contra Incendio – Conjuntos De Montaje De Puertas Contra Incendio – Método De Prueba De Presión Positiva.,Ed. 1,NMX,"February 24, 2021",nmx,False,,Seguridad Contra Incendio – Conjuntos De Montaje De Puertas Contra Incendio – Método De Prueba De Presión Positiva.,Montaje De Puertas Contra Incendio,Puertas Contra Incendio,Conjuntos De Montaje De Puertas,Método De Prueba De Presión,Prueba De Presión Positiva
10C,Standard for Positive Pressure Fire Tests of Door Assemblies,Ed. 3,UL,"June 09, 2016",ulstd,True,Standard for Positive Pressure Fire Test,Door Assemblies,Door Assemblies,Assemblies,Door,,
10D,Standard for Fire Tests of Fire-Protective Curtain Assemblies,Ed. 2,UL,"September 29, 2017",ulstd,True,Standard for Fire Test,Fire-Protective Curtain Assemblies,Fire-Protective Curtain Assemblies,Curtain Assemblies,Fire-Protective Curtain,Assemblies,Curtain
13,Standard for Power-Limited Circuit Cables,Ed. 4,UL,"March 18, 2015",ulstd,True,Standard,Power-Limited Circuit Cables,Power-Limited Circuit Cables,Circuit Cables,Power-Limited Circuit,Cables,Circuit
14,Guide for Hardware for Fire Doors And Emergency Exits,Ed. 1,ULC,"July 01, 1985",,True,Guide,Hardware for Fire Doors And Emergency Exits,Fire Doors And Emergency Exits,Doors And Emergency Exits,Fire Doors And Emergency,Hardware for Fire Doors,Emergency Exits
14B,"Standard for Sliding Hardware for Standard, Horizontally Mounted Tin-Clad Fire Doors",Ed. 9,UL,"December 15, 2008",ulstd,True,Standard,"Sliding Hardware for Standard, Horizontally Mounted Tin-Clad Fire Doors",Horizontally Mounted Tin-Clad Fire Doors,Mounted Tin-Clad Fire Doors,Horizontally Mounted Tin-Clad Fire,Sliding Hardware for Standard,Horizontally Mounted Tin-Clad
14C,Standard for Swinging Hardware for Standard Tin-Clad Fire Doors Mounted Singly And In Pairs,Ed. 8,UL,"October 27, 2006",ulstd,True,Standard,Swinging Hardware for Standard Tin-Clad Fire Doors Mounted Singly And In Pairs,Standard Tin-Clad Fire Doors Mounted,Tin-Clad Fire Doors Mounted Singly,Fire Doors Mounted Singly,Hardware for Standard Tin-Clad Fire,Standard Tin-Clad Fire Doors
19,Standard for Lined Fire Hose And Hose Assemblies,Ed. 14,UL,"August 13, 2018",ulstd,True,Standard,Lined Fire Hose And Hose Assemblies,Fire Hose And Hose Assemblies,Lined Fire Hose And Hose,Lined Fire Hose,Hose And Hose Assemblies,Fire Hose And Hose
19G,Guidance for Lined Fire Hose And Hose Assemblies,Ed. 1,UL,"August 13, 2018",,True,Guidance,Lined Fire Hose And Hose Assemblies,Fire Hose And Hose Assemblies,Lined Fire Hose And Hose,Lined Fire Hose,Hose And Hose Assemblies,Fire Hose And Hose
20,General-Use Snap Switches,Ed. 14,UL,"July 20, 2018",ulcsance,True,,General-Use Snap Switches,General-Use Snap Switches,Snap Switches,General-Use Snap,Switches,Snap
21,Standard for Lp-Gas Hose,Ed. 11,UL,"December 15, 2014",ulstd,True,Standard,Lp-Gas Hose,Lp-Gas Hose,Hose,Lp-Gas,,
22,Standard for Amusement And Gaming Machines,Ed. 6,UL,"May 30, 2008",ulstd,True,Standard,Amusement And Gaming Machines,Amusement And Gaming Machines,Gaming Machines,Amusement And Gaming,Machines,Gaming
