Standard_Number,Description,Label,Catalog,Edition_Date,Type
1,Standard for Flexible Metal Conduit,Ed. 11,UL,"February 16, 2005",ulstd
4,Standard for Armored Cable,Ed. 15,UL,"January 15, 2004",ulstd
5,Standard for Surface Metal Raceways and Fittings,Ed. 15,UL,"May 24, 2016",ulstd
5A,Nonmetallic Surface Raceways and Fittings,Ed. 4,UL,"June 26, 2015",ulcsa
5B,Standard for Strut-Type Channel Raceways and Fittings,Ed. 2,UL,"April 14, 2004",ulstd
5C,"Standard for Surface Raceways and Fittings for Use with Data, Signal, and Control Circuits",Ed. 3,UL,"April 22, 2016",ulstd
6,Electrical Rigid Metal Conduit - Steel,Ed. 15,UL,"November 28, 2022",ulcsance
6A,Standard for Electrical Rigid Metal Conduit - Aluminum and Stainless Steel,Ed. 2,UL,"October 31, 2008",ulcsance
7,Outline of Investigation for Pump Tank Extinguishers,Ed. 3,UL,"November 17, 2006",outline
8,Water Based Agent Fire Extinguishers,Ed. 7,UL,"November 25, 2016",ululc
9,Standard for Fire Tests of Window Assemblies,Ed. 8,UL,"July 02, 2009",ulstd
10,Subject 10 - Fire Doors,Ed. 1,UL,"March 30, 2015",
10,Guide for Evaluating Doors and Frames for Listing and Labelling,Ed. 1,ULC,"November 01, 1986",
10A,Standard for Tin-Clad Fire Doors,Ed. 21,UL,"January 30, 2009",ulstd
10B,Standard for Fire Tests of Door Assemblies,Ed. 10,UL,"February 07, 2008",ulstd
PROY- NMX-S-10C-UL-2021,Seguridad contra incendio – Conjuntos de montaje de puertas contra incendio – Método de prueba de presión positiva.,Ed. 1,NMX,"February 24, 2021",nmx
10C,Standard for Positive Pressure Fire Tests of Door Assemblies,Ed. 3,UL,"June 09, 2016",ulstd
10D,Standard for Fire Tests of Fire-Protective Curtain Assemblies,Ed. 2,UL,"September 29, 2017",ulstd
13,Standard for Power-Limited Circuit Cables,Ed. 4,UL,"March 18, 2015",ulstd
14,Guide for Hardware for Fire Doors and Emergency Exits,Ed. 1,ULC,"July 01, 1985",
14B,"Standard for Sliding Hardware for Standard, Horizontally Mounted Tin-Clad Fire Doors",Ed. 9,UL,"December 15, 2008",ulstd
14C,Standard for Swinging Hardware for Standard Tin-Clad Fire Doors Mounted Singly and in Pairs,Ed. 8,UL,"October 27, 2006",ulstd
19,Standard for Lined Fire Hose and Hose Assemblies,Ed. 14,UL,"August 13, 2018",ulstd
19G,Guidance for Lined Fire Hose and Hose Assemblies,Ed. 1,UL,"August 13, 2018",
20,General-Use Snap Switches,Ed. 14,UL,"July 20, 2018",ulcsance
21,Standard for LP-Gas Hose,Ed. 11,UL,"December 15, 2014",ulstd
22,Standard for Amusement and Gaming Machines,Ed. 6,UL,"May 30, 2008",ulstd
25,Meters for Flammable and Combustible Liquids and LP-Gas / Compteurs de liquides inflammables et combustibles et de gaz de pétrole liquéfié,Ed. 10,UL,"October 27, 2021",ulcanada
25,ANSI/CAN/UL/ULC Meters for Flammable and Combustible Liquids and LP-Gas / Compteurs de liquides inflammables et combustibles et de gaz de pétrole liquéfié,Ed. 10,ULC,"October 27, 2021",canulc
25A,Meters for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),Ed. 1,UL,"July 30, 2014",ulstd
25B,"Meters for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",Ed. 1,UL,"July 30, 2014",ulstd
